wort,wortart
Sport,Substantiv
Sprache,Substantiv
sprechen,Verb
Stadt,Substantiv
stehen,Verb
Stelle,Substantiv
stellen,Verb
Stock,Substantiv
Straße,Substantiv
Straßenbahn,Substantiv
Student,Substantiv
Studentin,Substantiv
studieren,Verb
Studium,Substantiv
Stunde,Substantiv
suchen,Verb
Süden,Substantiv
Tag,Substantiv
tanzen,Verb
Tasche,Substantiv
Taxi,Substantiv
Tee,Substantiv
Teil,Substantiv
Telefon,Substantiv
telefonieren,Verb
Termin,Substantiv
Test,Substantiv
teuer,Adjektiv
Text,Substantiv
Thema,Substantiv
Ticket,Substantiv
Tisch,Substantiv
Tochter,Substantiv
Toilette,Substantiv
Tomate,Substantiv
tot,Adjektiv
Treppe,Substantiv
treffen,Verb
trinken,Verb
tschüss,Interjektion
tun,Verb
über,Adverb
über,Präposition
übernachten,Verb
überweisen,Verb
Uhr,Substantiv
um,Präposition
umziehen,Verb
und,Konjunktion
unser*,Pronomen
unten,Adverb
unter,Adverb
Unterricht,Substantiv
unterschreiben,Verb
Unterschrift,Substantiv
Urlaub,Substantiv
Vater,Substantiv
verboten,Verb
verdienen,Verb
Verein,Substantiv
verheiratet,Adjektiv
verkaufen,Verb
Verkäufer,Substantiv
Verkäuferin,Substantiv
vermieten,Verb
Vermieter,Substantiv
Vermieterin,Substantiv
verstehen,Verb
Verwandte ♀,Substantiviertes Adjektiv
Verwandte ♂,Substantiviertes Adjektiv
viel*,Pronomen
vielleicht,Adverb
von,Präposition
vor,Präposition
Vormittag,Substantiv
Vorname,Substantiv
Vorsicht,Substantiv
vorstellen,Verb
Vorwahl,Substantiv
wandern,Verb
wann,Adverb
warten,Verb
warum,Adverb
was für ein,Idiom
was,Pronomen (Interrogativ)
waschen,Verb
Wasser,Substantiv
weg sein,Verb
weh tun,Verb
weiblich,Adjektiv
Wein,Substantiv
weit,Adjektiv
weiter,Adverb
weiß,Adjektiv
welch*,Pronomen
Welt,Substantiv
wenig,Adverb
wer,Pronomen (Interrogativ)
werden,Verb
Westen,Substantiv
Wetter,Substantiv
wichtig,Adjektiv
wie viel,Kollokation
wie,Adverb
wiederholen,Verb
Wiederhören,Substantiv
Wiedersehen,Substantiv
willkommen,Adjektiv
Wind,Substantiv
Winter,Substantiv
wissen,Verb
wo,Adverb
Woche,Substantiv
Wochenende,Substantiv
Wochentag,Substantiv
woher,Adverb
wohin,Adverb
wohnen,Verb
Wohnung,Substantiv
wollen,Verb
Wort,Substantiv
wunderbar,Adjektiv
zahlen,Verb
Zeit,Substantiv
Zeitung,Substantiv
Zentimeter,Substantiv
Zigarette,Substantiv
Zimmer,Substantiv
Zoll,Substantiv
zu sein,Kollokation
zu,Präposition
zum Beispiel,Kollokation
zufrieden,Adjektiv
Zug,Substantiv
zuordnen,Verb
zurzeit,Adverb
zurück,Adverb
zusammen,Adverb
zwischen,Adverb
zwischen,Präposition
