wort,tags,hinweis,fremd:en,fremd_hinweis:en,fremd:hu,fremd_hinweis:hu
freuen,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Freund,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Freundin,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Frühjahr,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Frühling,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Frühstück,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
frühstücken,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Fuß,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Fußball,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Führung,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Garten,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Gast,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Gästin,"UD::Goethe::A1,UD::UniLeipzig::19",,,,,
geben,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
geboren,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Geburtsdatum,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
Geburtsjahr,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Geburtsort,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
Geburtstag,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
gefallen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
gehen,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
gehören,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Geld,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Gemüse,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Gepäck,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Geschäft,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Geschenk,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Geschwister,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Gespräch,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Getränk,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Gewicht,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
gewinnen,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Glas,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
glauben,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Gleis,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Glück,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Glückwunsch,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
Grad,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Gramm,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
gratulieren,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
